PRIMARY_SAMPLE_UNIT,YEAR,STATION_NR,DEPTH,MAX_HARD_RELIEF,MAX_SOFT_RELIEF,AVG_HARD_RELIEF,PCT_SAND,PCT_HARD_BOTTOM,PCT_RUBBLE,PCT_CORAL,PCT_OCTO,PCT_SPONGE,LAT_DEGREES,LON_DEGREES
6000,2017,1,9.2964,1.55,1.05,0.589,5,82.5,12.5,2,20,1,18.31469,-64.68833
6001,2017,1,8.0772,0.5,1.65,0.1625,15,75,10,5.5,70,10,18.32579,-64.80147
6003,2017,1,9.144,6.5,1.5,1.47425,30,50,20,12.5,27.5,10,18.33973,-64.69007
6004,2017,1,2.7432,0.625,0.4,0.195,45,55,0,1.5,0,5,18.35071,-64.69047
6005,2017,1,4.2672,2.6,0.4,0.64425,7.5,62.5,30,2,6,3,18.30777,-64.70144
6006,2017,1,9.4488,5.8,1.15,1.75875,0,100,0,4,8.5,2.5,18.35399,-64.78466
6007,2017,1,4.8768,3.4,0.65,1.55,0,100,0,3,7,10,18.37024,-64.75924
6009,2017,1,7.0104,3.875,0.8,0.6036875,20,80,0,3.5,7.5,4.5,18.29804,-64.8257
6013,2017,1,2.286,1.5,0.85,0.345,15,60,25,11,9.5,1.5,18.35951,-64.86756
6014,2017,1,7.3152,2.75,0.4,1.3025,0,100,0,5.5,7.5,0,18.37718,-64.93007
6015,2017,1,16.3068,0.51,1.05,0.122,1,56.5,42.5,5,8.5,3,18.38013,-65.06458
6016,2017,1,7.1628,2.25,0.575,0.851375,22.5,76.5,1,10,7.5,2.5,18.30544,-64.8653
6018,2017,1,27.5844,1,1.4,0.44275,10,90,0,12.5,8,4.5,18.26901,-64.7264
6019,2017,1,28.956,2.9,0.9,1.09475,7.5,92.5,0,12.5,7,7.5,18.26898,-64.72592
6020,2017,1,26.8224,0.925,1.7,0.2725,0,100,0,1.5,5,2,18.26904,-64.73508
6022,2017,1,26.0604,2,1.55,0.689,30,60,10,7.5,10,5,18.30952,-64.68109
6023,2017,1,28.6512,0.775,1,0.35175,7.5,92.5,0,6.5,2.5,5.5,18.32076,-64.65245
6024,2017,1,19.6596,1.75,1.5,0.594875,25,75,0,3.5,17.5,5,18.32477,-64.6484
6025,2017,1,23.3172,1.5,1.35,0.4795,17.5,80,2.5,4,5,3,18.335,-64.68857
6026,2017,1,21.6408,0.7,1.625,0.211,25,75,0,2.5,32.5,3.5,18.35817,-64.67858
6027,2017,1,17.526,2.8,1.3,1.04975,27.5,70,2.5,4.5,21,2,18.36171,-64.7827
6028,2017,1,11.2776,1.35,1.7,0.411625,2.5,92.5,5,5,20,3.5,18.36241,-64.77879
6029,2017,1,15.5448,2.5,1.5,0.7,0,95,5,27.5,17.5,10,18.36446,-64.77544
6030,2017,1,26.2128,2.1,1.5,0.34075,27.5,52,20.5,4,17.5,4,18.27725,-64.9617
6031,2017,1,19.2024,1.115,0.625,0.37875,27.5,72.5,0,11.5,16,7.5,18.30225,-65.00388
6032,2017,1,24.5364,0.78,0.605,0.1695,50,45,5,6.5,1.5,12.5,18.30214,-64.99927
6033,2017,1,14.9352,1.4,0.925,0.2515,12.5,84,3.5,7.5,3,4.5,18.30657,-64.90177
6034,2017,1,17.2212,1,1.25,0.2405,15,82.5,2.5,7,12.5,2,18.37698,-64.96288
6035,2017,1,16.764,1.275,0.95,0.49375,20,77.5,2.5,14.5,5,4.5,18.30008,-64.83404
6036,2017,1,12.4968,3.5,0.8,1.19625,17.5,77.5,5,30,6,6.5,18.31181,-64.85633
6037,2017,1,29.718,1.6,0.8,0.618,2.5,97.5,0,23,1,2,18.17931,-65.10354
6038,2017,1,29.718,1.35,0.9,0.555625,2.5,97.5,0,27,1,2.5,18.17915,-65.1033
